Tag,Normalized,Count,Status,Variants
"peer-led","peer led",68,"other","peer-led; peer led"
"board games","board games",66,"other","board games; board-games"
"taproom","taproom",65,"other",""
"community center","community center",65,"other","community center; community-center"
"21+","21+",60,"other",""
"team-based","team based",57,"other",""
"prizes","prizes",55,"other",""
"guided meditation","guided meditation",55,"other","guided meditation; guided-meditation"
"casual","casual",54,"other",""
"brewery","brewery",52,"other",""
"stand-up","stand up",50,"other",""
"interactive","interactive",49,"other",""
"peer support","peer support",49,"other","peer support; peer-support"
"sing-along","sing along",47,"other",""
"jam session","jam session",46,"other","jam session; jam-session"
"donation based","donation based",44,"other","donation based; donation-based"
"jazz","jazz",42,"other",""
"jam band","jam band",42,"other","jam band; jam-band"
"singer-songwriter","singer songwriter",42,"other","singer-songwriter; singer songwriter"
"addiction-recovery","addiction recovery",41,"other","addiction-recovery; addiction recovery"
"seniors","seniors",41,"other",""
"americana","americana",40,"other",""
"all skill levels","all skill levels",40,"other","all skill levels; all-skill-levels; all-skill levels"
"ceramics","ceramics",39,"other",""
"12-step","12 step",39,"other",""
"women artists","women artists",37,"other",""
"studio class","studio class",36,"other","studio class; studio-class"
"sculpture","sculpture",36,"other",""
"heart-centered","heart centered",34,"other","heart-centered; heart centered"
"brewery show","brewery show",34,"other","brewery show; brewery-show"
"gentle yoga","gentle yoga",33,"other","gentle yoga; gentle-yoga"
"dance party","dance party",33,"other","dance party; dance-party"
"team-friendly","team friendly",33,"other","team-friendly; team friendly"
"pacific northwest","pacific northwest",32,"other","pacific northwest; pacific-northwest"
"poetry","poetry",32,"other",""
"brunch","brunch",31,"other",""
"wood engravings","wood engravings",31,"other","wood engravings; wood-engravings"
"thomas wolfe","thomas wolfe",31,"other","thomas wolfe; thomas-wolfe"
"museum exhibit","museum exhibit",30,"other","museum exhibit; museum-exhibit"
"church venue","church venue",30,"other","church venue; church-venue"
"bellydance","bellydance",30,"other",""
"intimate venue","intimate venue",29,"other","intimate venue; intimate-venue"
"professional development","professional development",29,"other","professional development; professional-development"
"beer-garden","beer garden",29,"other","beer-garden; beer garden"
"medieval bestiary","medieval bestiary",29,"other",""
"music venue","music venue",29,"other",""
"visual art","visual art",28,"other","visual art; visual-art"
"art exhibition","art exhibition",28,"other",""
"contemporary art","contemporary art",27,"other",""
"fantastic beasts","fantastic beasts",27,"other","fantastic beasts; fantastic-beasts"
"virtual","virtual",27,"other",""
"social gathering","social gathering",26,"other","social gathering; social-gathering"
"virtual meeting","virtual meeting",26,"other","virtual meeting; virtual-meeting"
"highwater clays","highwater clays",25,"other","highwater clays; highwater-clays"
"spoken-word","spoken word",25,"other","spoken-word; spoken word"
"brewery event","brewery event",25,"other","brewery event; brewery-event"
"loft venue","loft venue",24,"other","loft venue; loft-venue"
"old-time","old time",24,"other",""
"music-bingo","music bingo",24,"other","music-bingo; music bingo"
"kava bar","kava bar",24,"other","kava bar; kava-bar"
"local musicians","local musicians",24,"other","local musicians; local-musicians"
"yoga studio","yoga studio",23,"other","yoga studio; yoga-studio"
"mindfulness","mindfulness",23,"other",""
"mind-body","mind body",23,"other",""
"21-plus","21 plus",23,"other",""
"in-person","in person",23,"other",""
"farmers market","farmers market",23,"other",""
"library program","library program",22,"other","library program; library-program"
"breathwork","breathwork",22,"other",""
"meditation practice","meditation practice",21,"other","meditation practice; meditation-practice"
"team competition","team competition",21,"other",""
"qigong","qigong",21,"other",""
"found-materials","found materials",20,"other","found-materials; found materials"
"high-energy","high energy",20,"other","high-energy; high energy"
"peer connection","peer connection",20,"other","peer connection; peer-connection"
"senior-friendly","senior friendly",20,"other","senior-friendly; senior friendly"
"bar","bar",20,"other",""
"dj set","dj set",20,"other","dj set; dj-set"
"early literacy","early literacy",19,"other","early literacy; early-literacy"
"mixed-media","mixed media",19,"other","mixed-media; mixed media"
"storytelling","storytelling",19,"other",""
"gift-card-prizes","gift card prizes",19,"other","gift-card-prizes; gift-card prizes; gift card prizes"
"gypsy jazz","gypsy jazz",19,"other",""
"folk","folk",19,"other",""
"house band","house band",19,"other","house band; house-band"
"dj","dj",19,"other",""
"local produce","local produce",19,"other","local produce; local-produce"
"pop culture","pop culture",18,"other","pop culture; pop-culture"
"monthly event","monthly event",18,"other",""
"18+","18+",18,"other",""
"50+","50+",18,"other",""
"yoga","yoga",18,"other",""
"sound healing","sound healing",18,"other","sound healing; sound-healing"
"live band","live band",17,"other","live band; live-band"
"college basketball","college basketball",17,"other",""
"weekly residency","weekly residency",17,"other","weekly residency; weekly-residency"
"gallery-venue","gallery venue",17,"other","gallery-venue; gallery venue"
"funk","funk",17,"other",""
"anahata chakra","anahata chakra",17,"other","anahata chakra; anahata-chakra"
"recovery","recovery",17,"other",""
"aa","aa",17,"other",""
"gentle","gentle",17,"other",""
"tai chi","tai chi",17,"other",""
"mental-health","mental health",16,"other","mental-health; mental health"
"soul","soul",16,"other",""
"general knowledge","general knowledge",16,"other","general knowledge; general-knowledge"
"sound bath","sound bath",16,"other","sound bath; sound-bath"
"board game cafe","board game cafe",16,"other","board game cafe; board-game-cafe"
"somatic movement","somatic movement",16,"other",""
"printmaking","printmaking",16,"other",""
"instructor-led","instructor led",15,"other","instructor-led; instructor led"
"blues","blues",15,"other",""
"social meetup","social meetup",15,"other",""
"grateful dead tribute","grateful dead tribute",15,"other",""
"electronic","electronic",15,"other",""
"pub venue","pub venue",15,"other","pub venue; pub-venue"
"cabaret","cabaret",15,"other",""
"tabletop","tabletop",15,"other",""
"yacht rock","yacht rock",15,"other",""
"weaverville event","weaverville event",15,"other",""
"casual dining","casual dining",15,"other","casual dining; casual-dining"
"dog-friendly","dog friendly",15,"other","dog-friendly; dog friendly"
"stand-up comedy","stand up comedy",15,"other",""
"barefoot","barefoot",15,"other",""
"small group","small group",15,"other","small group; small-group"
"team trivia","team trivia",15,"other","team trivia; team-trivia"
"community gathering","community gathering",15,"other","community gathering; community-gathering"
"new-years-eve","new years eve",14,"other","new-years-eve; new years eve"
"gentle movement","gentle movement",14,"other","gentle movement; gentle-movement"
"silent sit","silent sit",14,"other","silent sit; silent-sit"
"bachata","bachata",14,"other",""
"new year's eve","new year's eve",14,"other",""
"business networking","business networking",14,"other",""
"social dance","social dance",14,"other","social dance; social-dance"
"acoustic trio","acoustic trio",14,"other",""
"covers","covers",14,"other",""
"energy healing","energy healing",14,"other","energy healing; energy-healing"
"recurring event","recurring event",14,"other",""
"discussion group","discussion group",14,"other",""
"participatory","participatory",14,"other",""
"bar-night","bar night",14,"other","bar-night; bar night"
"evening event","evening event",14,"other","evening event; evening-event"
"dj franco nino","dj franco nino",13,"other","dj franco nino; dj-franco-nino"
"bar event","bar event",13,"other","bar event; bar-event"
"bar trivia","bar trivia",13,"other",""
"monday night","monday night",13,"other","monday night; monday-night; Monday night"
"letterio calapai","letterio calapai",13,"other",""
"salsa","salsa",13,"other",""
"free","free",13,"other",""
"jamgrass","jamgrass",13,"other",""
"nia","nia",13,"other",""
"gentle flow","gentle flow",13,"other","gentle flow; gentle-flow"
"casual social","casual social",13,"other",""
"social activities","social activities",13,"other","social activities; social-activities"
"addiction support","addiction support",13,"other",""
"kimmel arena","kimmel arena",12,"other",""
"holiday lights","holiday lights",12,"other","holiday lights; holiday-lights"
"buddhist-informed","buddhist informed",12,"other",""
"meditative","meditative",12,"other",""
"silent-meditation","silent meditation",12,"other","silent-meditation; silent meditation"
"monthly meetup","monthly meetup",12,"other",""
"literary illustration","literary illustration",12,"other","literary illustration; literary-illustration"
"music-hall","music hall",12,"other","music-hall; music hall"
"architecture","architecture",12,"other",""
"taproom show","taproom show",12,"other",""
"string band","string band",12,"other","string band; string-band"
"asheville history","asheville history",12,"other",""
"trivia night","trivia night",12,"other","trivia night; trivia-night"
"group-friendly","group friendly",12,"other",""
"bookmobile","bookmobile",12,"other",""
"wine bar","wine bar",11,"other","wine bar; wine-bar"
"roots","roots",11,"other",""
"group meditation","group meditation",11,"other","group meditation; group-meditation"
"old-time music","old time music",11,"other","old-time music; old time music"
"folk music","folk music",11,"other",""
"recovery meeting","recovery meeting",11,"other",""
"beer-friendly","beer friendly",11,"other",""
"swing","swing",11,"other",""
"dharma center","dharma center",11,"other",""
"social","social",11,"other",""
"drag show","drag show",11,"other",""
"hands-on","hands on",11,"other","hands-on; hands on"
"museum","museum",11,"other",""
"ska","ska",11,"other",""
"electronic music","electronic music",11,"other","electronic music; electronic-music"
"weekly meetup","weekly meetup",11,"other","weekly meetup; weekly-meetup"
"new material","new material",11,"other","new material; new-material"
"mindful movement","mindful movement",11,"other","mindful movement; mindful-movement"
"jewelry making","jewelry making",10,"other","jewelry making; jewelry-making"
"urban dharma","urban dharma",10,"other",""
"site-specific","site specific",10,"other",""
"champagne toast","champagne toast",10,"other","champagne toast; champagne-toast"
"bar-show","bar show",10,"other","bar-show; bar show"
"improvisational","improvisational",10,"other",""
"weaverville","weaverville",10,"other",""
"kava-lounge","kava lounge",10,"other","kava-lounge; kava lounge"
"performing arts center","performing arts center",10,"other",""
"the orange peel","the orange peel",10,"other","the orange peel; the-orange-peel"
"reggae","reggae",10,"other",""
"teams up to 6","teams up to 6",10,"other","teams up to 6; teams-up-to-6"
"buddhist","buddhist",10,"other",""
"alcoholics anonymous","alcoholics anonymous",10,"other",""
"line-dancing","line dancing",10,"other","line-dancing; line dancing"
"retrospective","retrospective",10,"other",""
"drop-in friendly","drop in friendly",10,"other","drop-in friendly; drop-in-friendly"
"pickup basketball","pickup basketball",10,"other","pickup basketball; pickup-basketball"
"meditative movement","meditative movement",10,"other",""
"museum-gallery","museum gallery",10,"other","museum-gallery; museum gallery"
"pub session","pub session",10,"other","pub session; pub-session"
"brazilian-roda","brazilian roda",10,"other","brazilian-roda; brazilian roda"
"soul music","soul music",10,"other",""
"virtual event","virtual event",10,"other",""
"outdoor seating","outdoor seating",10,"other","outdoor seating; outdoor-seating"
"brewery residency","brewery residency",10,"other",""
"competitive","competitive",9,"other",""
"local comedians","local comedians",9,"other",""
"auto-tune","auto tune",9,"other",""
"dana-based","dana based",9,"other","dana-based; dana based"
"arboretum","arboretum",9,"other",""
"music jam","music jam",9,"other",""
"workshop","workshop",9,"other",""
"online meeting","online meeting",9,"other",""
"daytime event","daytime event",9,"other",""
"museum tour","museum tour",9,"other","museum tour; museum-tour"
"rock","rock",9,"other",""
"small-business","small business",9,"other","small-business; small business"
"free-admission","free admission",9,"other","free-admission; free admission"
"medieval art","medieval art",9,"other",""
"buddhist principles","buddhist principles",9,"other",""
"tuesday-night","tuesday night",9,"other","tuesday-night; Tuesday night; tuesday night"
"dance-friendly","dance friendly",9,"other",""
"crokinole","crokinole",9,"other",""
"dj-hosted","dj hosted",9,"other",""
"all-levels-welcome","all levels welcome",9,"other","all-levels-welcome; all levels welcome"
"classical music","classical music",9,"other",""
"walking meditation","walking meditation",9,"other",""
"phone required","phone required",9,"other","phone required; phone-required"
"aafa-ace-nasm-accredited","aafa ace nasm accredited",9,"other","aafa-ace-nasm-accredited; aafa ace nasm accredited"
"drink-special","drink special",9,"other","drink-special; drink special"
"pub run","pub run",9,"other",""
"brewery meetup","brewery meetup",9,"other","brewery meetup; brewery-meetup"
"online","online",9,"other",""
"spiritual center","spiritual center",9,"other",""
"phish tribute","phish tribute",9,"other",""
"zhan zhuang","zhan zhuang",9,"other",""
"wellness center venue","wellness center venue",9,"other",""
"singles-game-night","singles game night",9,"other","singles-game-night; singles game night"
"meetup-organized","meetup organized",9,"other",""
"dominoes","dominoes",9,"other",""
"acoustic funk","acoustic funk",9,"other","acoustic funk; acoustic-funk"
"collection highlights","collection highlights",9,"other","collection highlights; collection-highlights"
"improvisation","improvisation",9,"other",""
"yoga class","yoga class",9,"other","yoga class; yoga-class"
"pub-quiz","pub quiz",9,"other","pub-quiz; pub quiz"
"teams up to six","teams up to six",9,"other","teams up to six; teams-up-to-six"
"local talent","local talent",9,"other",""
"collection show","collection show",8,"other","collection show; collection-show"
"holiday themed","holiday themed",8,"other","holiday themed; holiday-themed"
"original music","original music",8,"other","original music; original-music"
"book discussion","book discussion",8,"other","book discussion; book-discussion"
"art museum","art museum",8,"other",""
"nature-inspired","nature inspired",8,"other",""
"guided","guided",8,"other",""
"cafe venue","cafe venue",8,"other",""
"email rsvp","email rsvp",8,"other","email rsvp; email-rsvp"
"audience participation","audience participation",8,"other","audience participation; audience-participation"
"morning event","morning event",8,"other",""
"drink specials","drink specials",8,"other","drink specials; drink-specials"
"kids","kids",8,"other",""
"downtown asheville","downtown asheville",8,"other",""
"weekly meeting","weekly meeting",8,"other","weekly meeting; weekly-meeting"
"traditional irish","traditional irish",8,"other",""
"language enrichment","language enrichment",8,"other","language enrichment; language-enrichment"
"intimate","intimate",8,"other",""
"animal imagery","animal imagery",8,"other",""
"museum collection","museum collection",8,"other","museum collection; museum-collection"
"aa meeting","aa meeting",8,"other","aa meeting; aa-meeting"
"volleyball","volleyball",8,"other",""
"early 20th century","early 20th century",8,"other","early 20th century; early-20th-century; early 20th-century"
"architectural history","architectural history",8,"other","architectural history; architectural-history"
"indie folk","indie folk",8,"other","indie folk; indie-folk"
"living-room-vibe","living room vibe",8,"other","living-room-vibe; living-room vibe"
"hatha","hatha",8,"other",""
"self-care","self care",8,"other",""
"afternoon event","afternoon event",8,"other",""
"adults-only","adults only",8,"other","adults-only; adults only"
"roots rock","roots rock",8,"other","roots rock; roots-rock"
"weekend","weekend",8,"other",""
"signup-required","signup required",8,"other","signup-required; signup required"
"wing-night","wing night",8,"other","wing-night; wing night"
"flagship beers","flagship beers",8,"other","flagship beers; flagship-beers"
"18+ event","18+ event",8,"other",""
"dance-studio","dance studio",8,"other","dance-studio; dance studio"
"local art","local art",8,"other","local art; local-art"
"burial-beer-co","burial beer co",8,"other","burial-beer-co; burial beer co"
"brewery-hosted","brewery hosted",8,"other",""
"literary art","literary art",8,"other",""
"sculpture exhibition","sculpture exhibition",8,"other",""
"daily","daily",8,"other",""
"mexican","mexican",8,"other",""
"public meeting","public meeting",8,"other",""
"pizza restaurant","pizza restaurant",8,"other","pizza restaurant; pizza-restaurant"
"frozen cocktails","frozen cocktails",8,"other","frozen cocktails; frozen-cocktails"
"library-outreach","library outreach",8,"other","library-outreach; library outreach"
"music-video-bingo","music video bingo",8,"other","music-video-bingo; music video bingo"
"museum event","museum event",8,"other","museum event; museum-event"
"casual vibe","casual vibe",8,"other",""
"presbyterian","presbyterian",8,"other",""
"2000s","2000s",7,"other",""
"bar-stage","bar stage",7,"other","bar-stage; bar stage"
"evening show","evening show",7,"other","evening show; evening-show"
"food truck","food truck",7,"other","food truck; food-truck"
"ceramics exhibition","ceramics exhibition",7,"other",""
"family-support","family support",7,"other","family-support; family support"
"rotating lineup","rotating lineup",7,"other","rotating lineup; rotating-lineup"
"meditation center","meditation center",7,"other",""
"bestiary","bestiary",7,"other",""
"weekly-series","weekly series",7,"other","weekly-series; weekly series"
"pilates-studio","pilates studio",7,"other","pilates-studio; pilates studio"
"sitting meditation","sitting meditation",7,"other",""
"taproom meetup","taproom meetup",7,"other",""
"casual competition","casual competition",7,"other",""
"bar-karaoke","bar karaoke",7,"other","bar-karaoke; bar karaoke"
"irish music","irish music",7,"other",""
"celtic music","celtic music",7,"other",""
"curated collection","curated collection",7,"other",""
"community center venue","community center venue",7,"other",""
"black mountain event","black mountain event",7,"other",""
"hip hop","hip hop",7,"other","hip hop; hip-hop"
"hybrid event","hybrid event",7,"other",""
"cover-band","cover band",7,"other","cover-band; cover band"
"tabletop rpg","tabletop rpg",7,"other",""
"mediumship","mediumship",7,"other",""
"intuition development","intuition development",7,"other","intuition development; intuition-development"
"daily event","daily event",7,"other",""
"online event","online event",7,"other",""
"country","country",7,"other",""
"musical","musical",7,"other",""
"live performance","live performance",7,"other",""
"word games","word games",7,"other","word games; word-games"
"casual play","casual play",7,"other","casual play; casual-play"
"indie rock","indie rock",7,"other",""
"club night","club night",7,"other","club night; club-night"
"stress relief","stress relief",7,"other",""
"daily practice","daily practice",7,"other",""
"chakra focus","chakra focus",7,"other",""
"party-vibe","party vibe",7,"other","party-vibe; party vibe"
"service-industry-specials","service industry specials",7,"other",""
"taproom special","taproom special",7,"other",""
"django reinhardt-inspired","django reinhardt inspired",7,"other",""
"vintage clothing","vintage clothing",7,"other","vintage clothing; vintage-clothing"
"picture round","picture round",7,"other",""
"audio round","audio round",7,"other",""
"science of mind","science of mind",7,"other",""
"guided tour","guided tour",7,"other","guided tour; guided-tour"
"outdoor-stage","outdoor stage",7,"other","outdoor-stage; outdoor stage"
"bring-your-instrument","bring your instrument",7,"other",""
"concert","concert",7,"other",""
"black mountain","black mountain",7,"other",""
"year-round","year round",7,"other",""
"interactive exhibit","interactive exhibit",7,"other","interactive exhibit; interactive-exhibit"
"men's group","men's group",7,"other",""
"storytime","storytime",7,"other",""
"group session","group session",7,"other",""
"trading-card-game","trading card game",7,"other","trading-card-game; trading card game"
"themed rounds","themed rounds",7,"other",""
"inclusive","inclusive",7,"other",""
"roots music","roots music",7,"other",""
"spiritual-growth","spiritual growth",7,"other","spiritual-growth; spiritual growth"
"team play","team play",7,"other","team play; team-play"
"visual-arts","visual arts",7,"other","visual-arts; visual arts"
"visual-rounds","visual rounds",7,"other","visual-rounds; visual rounds"
"appalachian folk","appalachian folk",7,"other",""
"sunday night","sunday night",7,"other",""
"music rounds","music rounds",7,"other",""
"board meeting","board meeting",7,"other",""
"social event","social event",7,"other",""
"group show","group show",6,"other","group show; group-show"
"skate-shop gallery","skate shop gallery",6,"other","skate-shop gallery; skate shop gallery; skate-shop-gallery"
"club show","club show",6,"other","club show; club-show"
"depression","depression",6,"other",""
"connection practice","connection practice",6,"other",""
"stress reduction","stress reduction",6,"other","stress reduction; stress-reduction"
"reggaeton","reggaeton",6,"other",""
"ongoing exhibit","ongoing exhibit",6,"other",""
"progressive bluegrass","progressive bluegrass",6,"other","progressive bluegrass; progressive-bluegrass"
"buddhist dharma","buddhist dharma",6,"other","buddhist dharma; buddhist-dharma"
"gallery exhibition","gallery exhibition",6,"other",""
"open-decks","open decks",6,"other",""
"beat-the-bartender","beat the bartender",6,"other","beat-the-bartender; beat the bartender"
"basketball","basketball",6,"other",""
"free-to-play","free to play",6,"other","free-to-play; free to play"
"meditation-based","meditation based",6,"other",""
"new year's eve party","new year's eve party",6,"other",""
"lounge venue","lounge venue",6,"other","lounge venue; lounge-venue"
"improv","improv",6,"other",""
"local artists","local artists",6,"other",""
"open-mic-style","open mic style",6,"other","open-mic-style; open-mic style"
"nature walk","nature walk",6,"other",""
"brewery-brunch","brewery brunch",6,"other","brewery-brunch; brewery brunch"
"parent-participation","parent participation",6,"other","parent-participation; parent participation"
"baby storytime","baby storytime",6,"other",""
"musician friendly","musician friendly",6,"other","musician friendly; musician-friendly"
"recreational league","recreational league",6,"other",""
"exhibition","exhibition",6,"other",""
"card game","card game",6,"other",""
"weaverville yoga","weaverville yoga",6,"other","weaverville yoga; weaverville-yoga"
"church-hosted","church hosted",6,"other",""
"flexibility","flexibility",6,"other",""
"local bands","local bands",6,"other","local bands; local-bands"
"latin dance","latin dance",6,"other",""
"thursday night","thursday night",6,"other",""
"recovery support","recovery support",6,"other",""
"food-specials","food specials",6,"other","food-specials; food specials"
"branding","branding",6,"other",""
"religious trauma","religious trauma",6,"other",""
"game night","game night",6,"other","game night; game-night"
"casual meetup","casual meetup",6,"other",""
"food-and-drink-specials","food and drink specials",6,"other","food-and-drink-specials; food and drink specials"
"jivamukti","jivamukti",6,"other",""
"holistic wellness","holistic wellness",6,"other",""
"billiards","billiards",6,"other",""
"teams 3-6","teams 3 6",6,"other",""
"breath-centered","breath centered",6,"other",""
"bring-your-own-game","bring your own game",6,"other","bring-your-own-game; bring your own game"
"family feud","family feud",6,"other",""
"brewery pop-up","brewery pop up",6,"other",""
"danceable","danceable",6,"other",""
"magic: the gathering","magic: the gathering",6,"other",""
"18-plus","18 plus",6,"other","18-plus; 18 plus"
"south slope","south slope",6,"other","south slope; south-slope"
"senior social","senior social",6,"other",""
"buddhist-inspired","buddhist inspired",6,"other","buddhist-inspired; buddhist inspired"
"creative writing","creative writing",6,"other","creative writing; creative-writing"
"tarot","tarot",6,"other",""
"free-entry","free entry",6,"other","free-entry; free entry"
"business planning","business planning",6,"other",""
"entrepreneurship","entrepreneurship",6,"other",""
"queer dance party","queer dance party",6,"other",""
"spades","spades",6,"other",""
"irish session","irish session",6,"other",""
"gallery show","gallery show",6,"other",""
"rooftop bar","rooftop bar",6,"other","rooftop bar; rooftop-bar"
"yoga nidra","yoga nidra",6,"other",""
"social-night","social night",6,"other","social-night; social night"
"female artists","female artists",6,"other",""
"write-a-question","write a question",6,"other",""
"social game night","social game night",6,"other","social game night; social-game-night"
"volunteer-led","volunteer led",6,"other",""
"singles","singles",6,"other",""
"daily meeting","daily meeting",6,"other",""
"smoke-cleansing","smoke cleansing",6,"other","smoke-cleansing; smoke cleansing"
"food trucks","food trucks",6,"other","food trucks; food-trucks"
"variety show","variety show",6,"other","variety show; variety-show"
"hosted-by-billy","hosted by billy",6,"other","hosted-by-billy; hosted by billy"
"covers-and-originals","covers and originals",6,"other","covers-and-originals; covers and originals"
"interactive art","interactive art",6,"other",""
"weekly-wednesday","weekly wednesday",6,"other","weekly-wednesday; weekly wednesday"
"team-prizes","team prizes",6,"other","team-prizes; team prizes"
"reclaimed-materials","reclaimed materials",6,"other","reclaimed-materials; reclaimed materials"
"blues music","blues music",6,"other",""
"relaxation","relaxation",6,"other",""
"scrabble","scrabble",6,"other",""
"barbara-led","barbara led",6,"other",""
"early-morning","early morning",6,"other","early-morning; early morning"
"astrology","astrology",6,"other",""
"monthly","monthly",6,"other",""
"journaling","journaling",6,"other",""
"cheap-drinks","cheap drinks",6,"other",""
"library storytime","library storytime",5,"other",""
"daily meditation","daily meditation",5,"other",""
"ticketed event","ticketed event",5,"other",""
"womens basketball","womens basketball",5,"other",""
"drop-in welcome","drop in welcome",5,"other","drop-in welcome; drop in welcome"
"walk-through","walk through",5,"other",""
"grateful dead covers","grateful dead covers",5,"other","grateful dead covers; grateful-dead-covers"
"fundraiser","fundraiser",5,"other",""
"goth","goth",5,"other",""
"12-minute-sets","12 minute sets",5,"other","12-minute-sets; 12-minute sets"
"teams 1-6","teams 1 6",5,"other",""
"adult","adult",5,"other",""
"intention-setting","intention setting",5,"other",""
"club-venue","club venue",5,"other","club-venue; club venue"
"ticketed","ticketed",5,"other",""
"django reinhardt","django reinhardt",5,"other",""
"all-genres","all genres",5,"other","all-genres; all genres"
"contemporary visual art","contemporary visual art",5,"other",""
"local band","local band",5,"other",""
"long-running","long running",5,"other",""
"blues jam","blues jam",5,"other",""
"slow looking","slow looking",5,"other","slow looking; slow-looking"
"quartet","quartet",5,"other",""
"mental health support","mental health support",5,"other","mental health support; mental-health-support"
"ages 4-18 months","ages 4 18 months",5,"other",""
"local history","local history",5,"other",""
"brass band","brass band",5,"other","brass band; brass-band"
"group exhibition","group exhibition",5,"other",""
"concert venue","concert venue",5,"other",""
"r&b","r&b",5,"other",""
"experienced-musicians","experienced musicians",5,"other","experienced-musicians; experienced musicians"
"real estate","real estate",5,"other",""
"line dance","line dance",5,"other","line dance; line-dance"
"museum venue","museum venue",5,"other",""
"restorative","restorative",5,"other",""
"dance fitness","dance fitness",5,"other","dance fitness; dance-fitness"
"local venue","local venue",5,"other",""
"latin","latin",5,"other",""
"community theater","community theater",5,"other",""
"no-registration","no registration",5,"other","no-registration; no registration"
"brass","brass",5,"other",""
"dana basis","dana basis",5,"other",""
"touring act","touring act",5,"other",""
"buddhist center","buddhist center",5,"other","buddhist center; buddhist-center"
"introvert friendly","introvert friendly",5,"other","introvert friendly; introvert-friendly"
"group discussion","group discussion",5,"other","group discussion; group-discussion"
"mtg","mtg",5,"other",""
"original songs","original songs",5,"other",""
"somatic","somatic",5,"other",""
"support group","support group",5,"other",""
"west asheville","west asheville",5,"other",""
"classic rock","classic rock",5,"other",""
"dharma talk","dharma talk",5,"other",""
"hot-seat format","hot seat format",5,"other","hot-seat format; hot-seat-format"
"weekly show","weekly show",5,"other","weekly show; weekly-show"
"low-impact activities","low impact activities",5,"other",""
"chanting","chanting",5,"other",""
"registration required","registration required",5,"other","registration required; registration-required"
"dance class","dance class",5,"other","dance class; dance-class"
"ecstatic dance","ecstatic dance",5,"other",""
"snap-friendly","snap friendly",5,"other","snap-friendly; SNAP-friendly"
"cider taproom","cider taproom",5,"other","cider taproom; cider-taproom"
"literary themed","literary themed",5,"other",""
"nature themed","nature themed",5,"other",""
"nervous-system-regulation","nervous system regulation",5,"other","nervous-system-regulation; nervous system regulation; nervous-system regulation"
"tibetan buddhism","tibetan buddhism",5,"other",""
"brewery trivia","brewery trivia",5,"other",""
"metalsmithing","metalsmithing",5,"other",""
"walking tour","walking tour",5,"other",""
"anahata","anahata",5,"other",""
"chakra yoga","chakra yoga",5,"other","chakra yoga; chakra-yoga"
"local djs","local djs",5,"other","local djs; local-djs"
"wood engraving","wood engraving",5,"other","wood engraving; wood-engraving"
"facilitated group","facilitated group",5,"other",""
"emotional wellness","emotional wellness",5,"other","emotional wellness; emotional-wellness"
"monthly meeting","monthly meeting",5,"other",""
"queer-friendly","queer friendly",5,"other","queer-friendly; queer friendly"
"local music","local music",5,"other","local music; local-music"
"craft beer","craft beer",5,"other",""
"sourwood honey","sourwood honey",5,"other",""
"richard sharp smith","richard sharp smith",5,"other","richard sharp smith; richard-sharp-smith"
"practice-circle","practice circle",5,"other","practice-circle; practice circle"
"arboretum event","arboretum event",5,"other",""
"environmental art","environmental art",5,"other","environmental art; environmental-art"
"chakra-focused","chakra focused",5,"other","chakra-focused; chakra focused"
